contig,start,end,length,gene count,viral gene count,pattern
Seq_1,935774,962348,26575,6,3,prrhbr
Seq_1,2557362,2593168,35807,14,11,bhihhrfahhprbr
Seq_23,65704,89262,23559,13,10,bhhrhhrfahhpr
Seq_23,239554,249279,9726,5,2,phrrr
Seq_23,407656,424560,16905,10,7,hhrfahhprr
Seq_23,450996,473934,22939,5,2,bbrrr
Seq_23,478777,487093,8317,4,1,prrr
Seq_23,1515151,1538335,23185,15,12,bbhhihhrrahehpr
Seq_23,1589143,1615803,26661,14,11,phhafrhhihhbrr
Seq_23,1671655,1687620,15966,5,2,bbrrr
Seq_23,1708395,1745960,37566,16,13,bbbbhihhrfrahhpr
Seq_23,1922277,1951449,29173,11,8,bhhfahhprrr
Seq_21,58083,80421,22339,16,13,bbrrbbhhhfahhppr
Seq_21,401385,431891,30507,18,15,ppphheeharhhhhhbrr
Seq_21,849658,877100,27443,17,11,brbrhihhrahhhprrr
Seq_21,1070312,1092503,22192,5,2,prrpr
Seq_21,1151283,1157001,5719,6,3,pphrrr
Seq_21,1164922,1174294,9373,9,6,hrbbbbbrr
Seq_21,1449388,1459792,10405,5,2,hprrr
Seq_21,1601143,1628017,26875,13,10,phhhfrhhihbrr
Seq_21,1674810,1714957,40148,18,12,brhhhrahhprbbbbrrr
Seq_5,345917,399329,53413,17,11,prrphhfhrihhbbrrr
Seq_5,549922,573595,23674,11,8,hhafrhhhbrr
Seq_5,764667,784401,19735,8,5,bbbbhrrr
Seq_5,788255,816256,28002,13,10,phhafrhhihbrr
Seq_5,1006859,1032631,25773,13,10,phharrhhihbpr
Seq_5,1051344,1125465,74122,39,33,pbhhirhhrfahhphhhafrhhhhhbbhirhhrfahhpr
Seq_5,1341688,1346221,4534,4,1,hrrr
Seq_5,1355451,1360782,5332,4,1,brrr
Seq_5,1394871,1448384,53514,7,4,bhhprrr
Seq_7,396294,422667,26374,14,11,bhihhrahehhprr
Seq_7,470367,495181,24815,18,15,pbbhhirhhrfahehhpr
Seq_7,510372,513554,3183,4,1,brrr
Seq_7,650153,703743,53591,28,22,bhhhrhhrfahphheharhhhhbhprrr
Seq_7,727840,791010,63171,27,18,hpprrrhppprrrbhihhhfahhprrr
Seq_7,931240,972597,41358,28,22,phhrhhbbrbpphhharfhhhihbbrrr
Seq_7,990280,998361,8082,5,2,pprrr
Seq_7,1008505,1020699,12195,4,1,brrr
Seq_7,1133433,1161354,27922,15,12,pphhharffrhhbbr
Seq_7,1265156,1278023,12868,4,1,brrr
Seq_7,1368417,1393857,25441,13,11,bhihhrfahhhpr
Seq_26,37761,56859,19099,4,1,prrr
Seq_26,242577,278898,36322,12,9,phhafhhhbrrr
Seq_26,290194,319249,29056,14,11,phehafhhhhbrrr
Seq_26,475064,483436,8373,4,1,prrr
Seq_26,506866,530794,23929,5,2,birrr
Seq_26,585528,602359,16832,4,1,irrr
Seq_26,634855,648724,13870,7,4,hhhbrrr
Seq_26,736357,767381,31025,14,11,hhhhhrfahehprr
Seq_26,1208556,1234665,26110,11,8,bhrfahhpprr
Seq_26,1237547,1268671,31125,23,21,bbbhhfaheehprprpphhafhh
Seq_8,241752,273167,31416,12,9,phhafrhhrhbr
Seq_8,558258,640024,81767,22,19,bbhhprphbhfahhhppppprr
Seq_8,915320,939775,24456,13,10,phharfrhhihbr
Seq_8,1092842,1128832,35991,23,18,prrbhhhhhrfahhpphrbbbbr
Seq_27,49773,63786,14014,6,3,hhbrrr
Seq_27,80909,99524,18616,7,4,prhhbrr
Seq_27,243422,262129,18708,6,3,bbhrrr
Seq_27,266535,280714,14180,7,4,hhrbbrr
Seq_27,309766,334816,25051,12,9,phhharrhhhbr
Seq_27,405927,418222,12296,5,2,bhrrr
Seq_27,421858,430142,8285,5,2,pprrr
Seq_27,562610,586212,23603,12,9,brhhhrfahhpr
Seq_27,606147,646136,39990,19,13,phheharrhhhrihhbrrr
Seq_27,739797,764090,24294,7,4,phrrbbr
Seq_9,25285,50565,25281,16,13,pphhafrhhhhhrbbr
Seq_9,233535,237985,4451,5,2,pprrr
Seq_9,512063,551357,39295,18,15,hhrahhbhihhrfahhpr
Seq_9,558481,566106,7626,4,1,prrr
Seq_12,1132,66379,65248,9,6,hhhbphrrr
Seq_12,473858,498594,24737,10,4,hhprrrprrr
Seq_12,552931,564051,11121,7,4,bbhhrrr
Seq_12,570332,596308,25977,12,9,phhafrhhhbrr
Seq_12,765015,772163,7149,4,1,prrr
Seq_12,806800,813382,6583,4,1,prrr
Seq_12,855331,892164,36834,12,9,phhafrhhhbrr
Seq_11,346057,351326,5270,4,1,prrr
Seq_11,363477,372256,8780,6,3,hhbrrr
Seq_11,628284,636927,8644,4,1,irrr
Seq_11,731946,745952,14007,4,1,prrr
Seq_11,857937,882397,24461,11,8,pphhharhhrr
Seq_37,25293,119807,94515,20,14,hprrrppbhhhhrfahhprr
Seq_37,203275,234447,31173,18,15,pphhaafhhhhhhbbrrr
Seq_37,261394,272499,11106,5,2,hprrr
Seq_37,319954,353757,33804,14,11,bhihhhfahhprrr
Seq_37,421902,426331,4430,4,1,prrr
Seq_37,439175,473563,34389,19,16,hhbhhhhfahhpbbbbrrr
Seq_37,478276,501315,23040,21,15,bbbbrhhhhhrahrehhprrr
Seq_37,697939,716203,18265,9,6,pprhhhbrr
Seq_37,789084,810861,21778,12,10,brhhhhrfahhp
Seq_29,48122,78036,29915,14,11,phhafrhhhhbbrr
Seq_29,129133,157545,28413,17,11,pphharfrhhhhrbrrr
Seq_29,215244,231361,16118,9,6,bbrehhprr
Seq_29,305876,331499,25624,14,11,bhhhrfahehhprr
Seq_29,360549,373611,13063,8,5,hbbbbrrr
Seq_29,376944,391094,14151,6,3,hpprrr
Seq_29,492323,524774,32452,16,13,ppbhihhhfahhprrr
Seq_29,629171,654657,25487,15,12,bhhhhrfrahehhpr
Seq_29,693001,703819,10819,4,1,brrr
Seq_29,709571,733844,24274,14,11,bhhhhhhrfrahhr
Seq_15,18885,50704,31820,13,10,hhfahhhppprrr
Seq_15,133190,146775,13586,4,1,prrr
Seq_15,322648,327663,5016,5,2,phrrr
Seq_15,335653,345612,9960,6,3,bbbrrr
Seq_15,411742,463018,51277,17,14,bbrhhihhrfahpbppr
Seq_15,492957,529912,36956,16,13,bbbhhihhrfahhprr
Seq_15,532817,541414,8598,5,2,pprrr
Seq_15,614856,624179,9324,4,1,prrr
Seq_18,11135,22989,11855,6,3,bbrrhr
Seq_18,27920,36338,8419,4,1,prrr
Seq_18,136833,175420,38588,23,20,phehafrhphhaffrhhbhhhhr
Seq_18,176059,201609,25551,15,12,bpphehhafrhhrhr
Seq_18,202890,214977,12088,4,1,brrr
Seq_18,259939,265286,5348,4,1,prrr
